0,1,2,3,4
oo020270110092,עַמּוּדָ֣י,עמדו,o43531,7
oo020270110093,ו,עֶשְׂרִ֗ים,o43532,7
oo020270110101,עֶשְׂרִ֗ים,וְ,o43533,7
oo020270110111,וְ,אַדְנֵיהֶ֤ם,o43534,7
oo020270110112,אַדְנֵי,עֶשְׂרִים֙,o43535,7
oo020270110113,הֶ֤ם,נְחֹ֔שֶׁת,o43536,7
oo020270110121,עֶשְׂרִים֙,וָוֵ֧י,o43537,7
oo020270110131,נְחֹ֔שֶׁת,הָֽ,o43538,7
oo020270110141,וָוֵ֧י,עַמֻּדִ֛ים,o43539,7
oo020270110151,הָֽ,וַ,o43540,7
oo020270110152,עַמֻּדִ֛ים,חֲשֻׁקֵיהֶ֖ם,o43541,7
oo020270110161,וַ,כָּֽסֶף,o43542,7
,,,,
oo020280280052,טַּבְּעֹתָ֞י,טבעתו,o44206,7
oo020280280053,ו,אֶל,o44207,7
oo020280280061,אֶל,טַבְּעֹ֤ת,o44208,7
oo020280280071,טַבְּעֹ֤ת,הָ,o44209,7
oo020280280081,הָ,אֵפֹד֙,o44210,7
oo020280280082,אֵפֹד֙,בִּ,o44211,7
oo020280280091,בִּ,פְתִ֣יל,o44212,7
oo020280280092,פְתִ֣יל,תְּכֵ֔לֶת,o44213,7
oo020280280101,תְּכֵ֔לֶת,לִֽ,o44214,7
oo020280280111,לִֽ,הְיֹ֖ות,o44215,7
oo020280280112,הְי֖וֹת,עַל,o44216,7
oo020280280121,עַל,חֵ֣שֶׁב,o44217,7
oo020280280131,חֵ֣שֶׁב,הָ,o44218,7
oo020280280141,הָ,אֵפֹ֑וד,o44219,7
oo020280280142,אֵפ֑וֹד,וְ,o44220,7
oo020280280151,וְ,לֹֽא,o44221,7
oo020280280152,לֹֽא,יִזַּ֣ח,o44222,7
oo020280280161,יִזַּ֣ח,הַ,o44223,7
oo020280280171,הַ,חֹ֔שֶׁן,o44224,7
oo020280280172,חֹ֔שֶׁן,מֵ,o44225,7
oo020280280181,מֵ,עַ֖ל,o44226,7
oo020280280182,עַ֖ל,הָ,o44227,7
oo020280280191,הָ,אֵפֹֽוד,o44228,7
,,,,
oo020320190152,יָּדָי,ידו,o46929,7
oo020320190153,ו֙,אֶת,o46930,7
oo020320190161,אֶת,הַ,o46931,7
oo020320190171,הַ,לֻּחֹ֔ת,o46932,7
oo020320190172,לֻּחֹ֔ת,וַ,o46933,7
oo020320190181,וַ,יְשַׁבֵּ֥ר,o46934,7
oo020320190182,יְשַׁבֵּ֥ר,אֹתָ֖ם,o46935,7
oo020320190191,אֹתָ֖,תַּ֥חַת,o46936,7
oo020320190192,ם,הָ,o46937,7
oo020320190201,תַּ֥חַת,הָֽר,o46938,7
,,,,
oo030090220051,יָדָ֛י,ידו,o57314,7
oo030090220052,ו,אֶל,o57315,7
oo030090220061,אֶל,הָ,o57316,7
oo030090220071,הָ,עָ֖ם,o57317,7
oo030090220072,עָ֖ם,וַֽ,o57318,7
oo030090220081,וַֽ,יְבָרְכֵ֑ם,o57319,7
oo030090220082,יְבָרְכֵ֑,וַ,o57320,7
oo030090220083,ם,יֵּ֗רֶד,o57321,7
oo030090220091,וַ,מֵ,o57322,7
oo030090220092,יֵּ֗רֶד,עֲשֹׂ֧ת,o57323,7
oo030090220101,מֵ,הַֽ,o57324,7
oo030090220102,עֲשֹׂ֧ת,חַטָּ֛את,o57325,7
oo030090220111,הַֽ,וְ,o57326,7
oo030090220112,חַטָּ֛את,הָ,o57327,7
oo030090220121,וְ,NA,,6
,,,,
oo030160210061,יָדָ֗י,ידו,o62668,7
oo030160210062,ו,עַ֨ל,o62669,7
oo030160210071,עַ֨ל,רֹ֣אשׁ,o62670,7
oo030160210081,רֹ֣אשׁ,הַ,o62671,7
,NA,שָּׂעִיר֮,o62672,6
,,,,
oo030160210092,שָּׂעִיר֮,חַי֒,o62674,7
oo030160210101,הַ,וְ,o62675,7
oo030160210102,חַי֒,הִתְוַדָּ֣ה,o62676,7
oo030160210111,וְ,עָלָ֗יו,o62677,7
oo030160210112,הִתְוַדָּ֣ה,אֶת,o62678,7
oo030160210121,עָלָ֗י,כָּל,o62679,7
oo030160210122,ו,עֲוֹנֹת֙,o62680,7
oo030160210131,אֶת,בְּנֵ֣י,o62681,7
