lexId,language,speech,nameType,lexSet,lexText,gloss,freqLex,rankLex
1437567,hbo,prep,,,בְּ,in,15542,3
1437568,hbo,subs,,,רֵאשִׁית,beginning,51,706
1437569,hbo,verb,,,ברא,create,48,745
1437570,hbo,subs,,,אֱלֹהִים,god(s),2601,18
1437571,hbo,prep,,,אֵת,<object marker>,10989,4
1437572,hbo,art,,,הַ,the,30386,1
1437573,hbo,subs,,,שָׁמַיִם,heavens,421,122
1437574,hbo,conj,,,וְ,and,50272,0
1437575,hbo,subs,,,אֶרֶץ,earth,2504,22
1437576,hbo,verb,,vbcp,היה,be,3561,15
1437577,hbo,subs,,,תֹּהוּ,emptiness,20,1454
1437578,hbo,subs,,,בֹּהוּ,emptiness,3,3915
1437579,hbo,subs,,,חֹשֶׁךְ,darkness,80,490
1437580,hbo,prep,,,עַל,upon,5766,7
1437581,hbo,subs,,,פָּנֶה,face,2127,25
1437582,hbo,subs,,,תְּהֹום,primeval ocean,36,960
1437583,hbo,subs,,,רוּחַ,wind,378,134
1437584,hbo,verb,,,רחף,shake,3,3915
1437585,hbo,subs,,,מַיִם,water,582,87
1437586,hbo,verb,,quot,אמר,say,5307,11
1437587,hbo,subs,,,אֹור,light,115,380
1437588,hbo,verb,,,ראה,see,1298,33
1437589,hbo,conj,,,כִּי,that,4483,14
1437590,hbo,verb,,,טוב,be good,44,806
1437591,hbo,verb,,,בדל,separate,42,847
1437592,hbo,subs,,ppre,בַּיִן,interval,407,126
1437593,hbo,verb,,,קרא,call,732,72
1437594,hbo,prep,,,לְ,to,20069,2
1437595,hbo,subs,,padv,יֹום,day,2304,23
1437596,hbo,subs,,padv,לַיְלָה,night,227,210
1437597,hbo,subs,,padv,עֶרֶב,evening,134,336
1437598,hbo,subs,,padv,בֹּקֶר,morning,214,225
1437599,hbo,subs,,card,אֶחָד,one,970,47
1437600,hbo,subs,,,רָקִיעַ,firmament,17,1596
1437601,hbo,subs,,,תָּוֶךְ,midst,418,124
1437602,hbo,verb,,,עשׂה,make,2629,17
1437603,hbo,conj,,,אֲשֶׁר,<relative>,5500,9
1437604,hbo,prep,,,מִן,from,7562,5
1437605,hbo,subs,,ppre,תַּחַת,under part,505,99
1437606,hbo,advb,,afad,כֵּן,thus,546,95
1437607,hbo,adjv,,ordn,שֵׁנִי,second,156,293
1437608,hbo,verb,,,קוה,collect,2,4540
1437609,hbo,prep,,,אֶל,to,5517,8
1437610,hbo,subs,,,מָקֹום,place,401,130
1437611,hbo,subs,,,יַבָּשָׁה,dry land,14,1828
1437612,hbo,subs,,,מִקְוֶה,collection,5,3122
1437613,hbo,subs,,,יָם,sea,396,132
1437614,hbo,verb,,,דשׁא,grow green,2,4540
1437615,hbo,subs,,,דֶּשֶׁא,young grass,14,1828
1437616,hbo,subs,,,עֵשֶׂב,herb,33,1030
1437617,hbo,verb,,,זרע,sow,56,657
1437618,hbo,subs,,,זֶרַע,seed,229,209
1437619,hbo,subs,,,עֵץ,tree,330,151
1437620,hbo,subs,,,פְּרִי,fruit,119,366
1437621,hbo,subs,,,מִין,kind,31,1080
1437622,hbo,verb,,,יצא,go out,1068,42
1437623,hbo,adjv,,ordn,שְׁלִישִׁי,third,83,478
1437624,hbo,subs,,,מָאֹור,lamp,19,1487
1437625,hbo,subs,,,אֹות,sign,79,500
1437626,hbo,subs,,,מֹועֵד,appointment,223,216
1437627,hbo,subs,,,שָׁנָה,year,876,52
1437628,hbo,verb,,,אור,be light,49,723
1437629,hbo,subs,,card,שְׁנַיִם,two,768,65
1437630,hbo,adjv,,,גָּדֹול,great,526,96
1437631,hbo,subs,,,מֶמְשֶׁלֶת,dominion,14,1828
1437632,hbo,adjv,,,קָטֹן,small,54,674
1437633,hbo,subs,,,כֹּוכָב,star,37,940
1437634,hbo,verb,,,נתן,give,2010,27
1437635,hbo,verb,,,משׁל,rule,80,490
1437636,hbo,adjv,,ordn,רְבִיעִי,fourth,56,657
1437637,hbo,verb,,,שׁרץ,swarm,14,1828
1437638,hbo,subs,,,שֶׁרֶץ,swarming creatures,15,1762
1437639,hbo,subs,,,נֶפֶשׁ,soul,754,67
1437640,hbo,adjv,,,חַי,alive,239,201
1437641,hbo,subs,,,עֹוף,birds,71,555
1437642,hbo,verb,,,עוף,fly,24,1286
1437643,hbo,subs,,,תַּנִּין,sea-monster,12,2014
1437644,hbo,subs,,nmdi,כֹּל,whole,5412,10
1437645,hbo,verb,,,רמשׂ,creep,17,1596
1437646,hbo,subs,,,כָּנָף,wing,109,396
1437647,hbo,verb,,,ברך,bless,327,152
1437648,hbo,verb,,,פרה,be fertile,27,1184
1437649,hbo,verb,,,רבה,be many,224,214
1437650,hbo,verb,,,מלא,be full,292,168
1437651,hbo,adjv,,ordn,חֲמִישִׁי,fifth,34,1004
1437652,hbo,subs,,,בְּהֵמָה,cattle,190,249
1437653,hbo,subs,,,רֶמֶשׂ,creeping animals,17,1596
1437654,hbo,subs,,,חַיָּה,wild animal,100,423
1437655,hbo,subs,,,אֲדָמָה,soil,223,216
1437656,hbo,subs,,,אָדָם,"human, mankind",553,93
1437657,hbo,subs,,,צֶלֶם,image,17,1596
1437658,hbo,prep,,,כְּ,as,2902,16
1437659,hbo,subs,,,דְּמוּת,likeness,25,1239
1437660,hbo,verb,,,רדה,"tread, to rule",25,1239
1437661,hbo,subs,,,דָּגָה,fish,15,1762
1437662,hbo,adjv,,,זָכָר,male,82,482
1437663,hbo,subs,,,נְקֵבָה,female,22,1353
1437664,hbo,verb,,,כבשׁ,subdue,14,1828
1437665,hbo,intj,,,הִנֵּה,behold,1060,44
1437666,hbo,subs,,,אָכְלָה,food,18,1543
1437667,hbo,subs,,,יֶרֶק,greens,6,2866
1437668,hbo,adjv,,,טֹוב,good,469,110
1437669,hbo,subs,,padv,מְאֹד,might,300,162
1437670,hbo,adjv,,ordn,שִׁשִּׁי,sixth,28,1155
1437671,hbo,verb,,,כלה,be complete,206,236
1437672,hbo,subs,,,צָבָא,service,486,108
1437673,hbo,adjv,,ordn,שְׁבִיעִי,seventh,98,428
1437674,hbo,subs,,,מְלֶאכֶת,work,62,605
1437675,hbo,verb,,,שׁבת,cease,71,555
1437676,hbo,verb,,,קדשׁ,be holy,171,269
1437677,hbo,prde,,,אֵלֶּה,these,746,70
1437678,hbo,subs,,,תֹּולֵדֹות,generations,39,900
1437679,hbo,nmpr,pers,,יְהוָה,YHWH,6828,6
1437680,hbo,subs,,,שִׂיחַ,shrub,4,3479
1437681,hbo,subs,,,שָׂדֶה,open field,320,154
1437682,hbo,subs,,ppre,טֶרֶם,beginning,56,657
1437683,hbo,verb,,,צמח,sprout,33,1030
1437684,hbo,nega,,,לֹא,not,5167,12
1437685,hbo,verb,,,מטר,rain,17,1596
1437686,hbo,subs,,nmcp,אַיִן,<NEG>,788,62
1437687,hbo,verb,,,עבד,"work, serve",288,172
1437688,hbo,subs,,,אֵד,<uncertain>,2,4540
1437689,hbo,verb,,,עלה,ascend,890,50
1437690,hbo,verb,,,שׁקה,give drink,68,573
1437691,hbo,verb,,,יצר,shape,45,792
1437692,hbo,subs,,,עָפָר,dust,110,395
1437693,hbo,verb,,,נפח,blow,12,2014
1437694,hbo,subs,,,אַף,nose,277,182
1437695,hbo,subs,,,נְשָׁמָה,breath,25,1239
1437696,hbo,subs,,,חַיִּים,life,148,304
1437697,hbo,verb,,,נטע,plant,58,635
1437698,hbo,subs,,,גַּן,garden,41,863
1437699,hbo,nmpr,topo,,עֵדֶן,Eden,14,1828
1437700,hbo,subs,,padv,קֶדֶם,front,87,464
1437701,hbo,verb,,,שׂים,put,583,86
1437702,hbo,advb,,,שָׁם,there,834,58
1437703,hbo,verb,,,חמד,desire,21,1403
1437704,hbo,subs,,,מַרְאֶה,sight,103,415
1437705,hbo,subs,,,מַאֲכָל,food,30,1106
1437706,hbo,subs,,,דַּעַת,knowledge,93,443
1437707,hbo,adjv,,,רַע,evil,347,144
1437708,hbo,subs,,,נָהָר,stream,119,366
1437709,hbo,verb,,,פרד,divide,26,1214
1437710,hbo,subs,,card,אַרְבַּע,four,454,113
1437711,hbo,subs,,,רֹאשׁ,head,599,84
1437712,hbo,subs,,,שֵׁם,name,864,55
1437713,hbo,nmpr,topo,,פִּישֹׁון,Pishon,1,5715
1437714,hbo,prps,ppde,,הוּא,he,1394,32
1437715,hbo,verb,,,סבב,turn,161,287
1437716,hbo,nmpr,topo,,חֲוִילָה,Havilah,7,2659
1437717,hbo,subs,,,זָהָב,gold,389,133
1437718,hbo,prps,ppde,,הִיא,she,485,109
1437719,hbo,subs,,,בְּדֹלַח,bdellium-gum,2,4540
1437720,hbo,subs,,,אֶבֶן,stone,273,186
1437721,hbo,subs,,,שֹׁהַם,carnelian,11,2114
1437722,hbo,nmpr,topo,,גִּיחֹון,Gihon,6,2866
1437723,hbo,nmpr,topo,,כּוּשׁ,Cush,25,1239
1437724,hbo,nmpr,topo,,חִדֶּקֶל,Tigris,2,4540
1437725,hbo,verb,,,הלך,walk,1547,30
1437726,hbo,subs,,ppre,קִדְמָה,front,4,3479
1437727,hbo,nmpr,topo,,אַשּׁוּר,Asshur,151,299
1437728,hbo,nmpr,topo,,פְּרָת,Euphrates,19,1487
1437729,hbo,verb,,,לקח,take,965,48
1437730,hbo,verb,,,נוח,settle,141,318
1437731,hbo,verb,,,שׁמר,keep,468,112
1437732,hbo,verb,,,צוה,command,494,103
1437733,hbo,verb,,,אכל,eat,810,60
1437734,hbo,verb,,,מות,die,835,57
1437735,hbo,subs,,,בַּד,"linen, part, stave",225,212
1437736,hbo,subs,,,עֵזֶר,"help, helper",21,1403
1437737,hbo,subs,,ppre,נֶגֶד,counterpart,151,299
1437738,hbo,verb,,,בוא,come,2570,19
1437739,hbo,prin,,,מָה,what,573,90
1437740,hbo,verb,,,מצא,find,453,114
1437741,hbo,verb,,,נפל,fall,434,117
1437742,hbo,subs,,,תַּרְדֵּמָה,sleep,7,2659
1437743,hbo,verb,,,ישׁן,sleep,16,1679
1437744,hbo,subs,,,צֵלָע,side,40,886
1437745,hbo,verb,,,סגר,close,83,478
1437746,hbo,subs,,,בָּשָׂר,flesh,270,188
1437747,hbo,verb,,,בנה,build,376,137
1437748,hbo,subs,,nmdi,אִשָּׁה,woman,781,63
1437749,hbo,prde,,,זֹאת,this,604,81
1437750,hbo,subs,,,פַּעַם,foot,118,371
1437751,hbo,subs,,,עֶצֶם,bone,123,360
1437752,hbo,subs,,nmdi,אִישׁ,man,2186,24
1437753,hbo,verb,,,עזב,leave,214,225
1437754,hbo,subs,,,אָב,father,1217,35
1437755,hbo,subs,,,אֵם,mother,220,219
1437756,hbo,verb,,,דבק,"cling, cleave to",54,674
1437757,hbo,adjv,,,עָרֹום,naked,16,1679
1437758,hbo,verb,,,בושׁ,be ashamed,109,396
1437759,hbo,subs,,,נָחָשׁ,serpent,31,1080
1437760,hbo,adjv,,,עָרוּם,shrewd,11,2114
1437761,hbo,advb,,focp,אַף,even,133,342
1437762,hbo,verb,,,נגע,touch,150,301
1437763,hbo,conj,,,פֶּן,lest,133,342
1437764,hbo,verb,,,ידע,know,944,49
1437765,hbo,verb,,,פקח,open,20,1454
1437766,hbo,subs,,,עַיִן,eye,887,51
1437767,hbo,subs,,,תַּאֲוָה,desire,21,1403
1437768,hbo,verb,,,שׂכל,prosper,61,612
1437769,hbo,advb,,focp,גַּם,even,769,64
1437770,hbo,prep,,,עִם,with,1049,45
1437771,hbo,adjv,,,עֵירֹם,naked,10,2230
1437772,hbo,prps,ppde,,הֵם,they,269,190
1437773,hbo,verb,,,תפר,sew,4,3479
1437774,hbo,subs,,,עָלֶה,leafage,18,1543
1437775,hbo,subs,,,תְּאֵנָה,fig,39,900
1437776,hbo,subs,,,חֲגֹורָה,girdle,5,3122
1437777,hbo,verb,,,שׁמע,hear,1159,37
1437778,hbo,subs,,,קֹול,sound,505,99
1437779,hbo,verb,,,חבא,hide,34,1004
1437780,hbo,inrg,,,אֵי,where,39,900
